ID;Anime;Character;Quote;;;;;;;;
40;(Bleach);Zaraki Kenpachi;It isn't even interesting fighting against someone who doesn't have their own goals.;;;;;;;;
41;(Noragami);Yato;You've finally realized that the one thing you want, something greater than money, it can never be yours.;;;;;;;;
42;(The Melancholy of Haruhi Suzumiya);Kyon;You can't do anything about what doesn't exist. In the end, humans have to settle for what's in front of them.;;;;;;;;
43;(Yu-Gi-Oh! Arc-V);Yūya Sakaki;Forgiveness is the only way to end the war.;;;;;;;;
44;(Yu-Gi-Oh! Arc-V);Yuzu Hiiragi;Smiles are what connect people! It allows them to communicate through their souls! Connected souls will never lose to the strength that only relies on control! Dueling is the same! Only strength alone doesn't speak to anyone's soul!;;;;;;;;
45;(Date A Live);Shido Itsuka;Do they love you, or the mask you put every day?;;;;;;;;
46;(Owarimonogatari);Tsubasa Hanekawa;Nobody can make someone who isn't trying to be happy into someone that's happy;;;;;;;;
47;(Monogatari Series: Second Season);Deishū Kaiki;The moment you put it into words and tell someone, it starts to diverge from your feelings. Words are nothing but lies and nothing but cheats. No matter what the truth, the moment it is told, it becomes dramatized.;;;;;;;;
48;(Magi - The Labyrinth of Magic);Hakuryū Ren;Hatred will never be erased! The only thing you can do is erase the ones you hate!;;;;;;;;
49;(Cardcaptor Sakura);Clow Reed;Seasons change just like the passing of time. We all have out destines and then we must move. That's they way it has always been.;;;;;;;;
50;(xxxHOLiC);Yuuko Ichihara;The world isn't something that is all planned out. It's something you make yourself. ;;;;;;;;
51;(No Game No Life);Sora; I can conquer the world with one hand as long as you are Holding the other;;;;;;;;
52;(Danshi Koukousei no Nichijou);Hidenori Tabata;There’s no reason to pretend to be cool. Let’s show our lame sides. That’s who we really are, after all.;;;;;;;;
53;(Shirobako);Yumi Iguchi;Learning and copying are the same.  Everyone starts out copying someone else. Every last person. ;;;;;;;;
54;(Katanagatari);Togame;Of course, if you lose in fighting it'd be a problem, but it's also a problem if you lose in character;;;;;;;;
55;(One Piece);Donquixote Doflamingo;That's right! Whatever the tragedy or the blunder is, only the things that actually happened are written in stone!;;;;;;;;
56;(One Piece);Donquixote Doflamingo;The weaker person is the more he gets hung up on other people's pain and then he self-destructs;;;;;;;;
57;(One Piece);Donquixote Doflamingo;That's ridiculous. People usually have a stereotypical idea, or an assumption like that and that's what creates a blind spot;;;;;;;;
58;(3-gatsu no Lion);Rei Kiriyama;In this small universe, it's an endless cycle of winning and losing until you begin losing your mind.;;;;;;;;
59;(Naruto);Yashamaru;Physical wounds will definitely bleed and may look painful ;;;;;;;;
but over time they heal by themselves and if you apply medicine; ;;;;;;;;;;
they will heal faster. What's troublesome are wounds of the heart. Nothing is harder to heal. They're a bit different from physical injuries. You can't apply medicine for one thing and sometimes; they never heal. There's only one cure for a wound of the heart. ;;;;;;;;;;
"It's a bit bothersome and you can only receive it from someone else. What is it? Love.""";;;;;;;;;;;
60;(Seishun Forget!);Taiyou Natsuki;A real man never goes back on his words!;;;;;;;;
61;(Yojouhan Shinwa Taikei);Higuchi Seitarou;No one knows what the future holds in life.  We must take that endless bit of darkness and turn it to our advantage.  ;;;;;;;;
62;(Tokyo Ghoul:re);Koutarou Amon;What is right... what is wrong... you can't easily tell the difference. That's why you must keep thinking, whether what you are doing is right or not. That act itself, alone, can be called right.;;;;;;;;
63;(Bungou Stray Dogs);Sakunosuke Oda;People live to save themselves. ;;;;;;;;
64;(Bungou Stray Dogs);Sakunosuke Oda;Be on the Side that saves people, if both sides are the same, become a good man. ;;;;;;;;
65;(Gurren Lagann);Kamina;Don't believe in the me that believe in you, don't believe in the you that believes in me, believe in yourself who believes in you! ;;;;;;;;
66;(JoJo's Bizarre Adventure: Stardust Crusaders);Dio Brando;Advantages and disadvantages come hand in hand. That is inevitable;;;;;;;;
67;(Bleach);Kisuke Urahara;Yes, we have no destiny. Only those swallowed up by ignorance and fear who take false steps, shall plunge us into the waters called “destiny”. ;;;;;;;;
68;(Uchouten Kazoku);Yasaburou Shimogamo;As long is you still draw breathe, there is no way to escape having to bid others farewell.  It doesn't matter if you're human or not...we all have to say good-bye.;;;;;;;;
69;(Uchouten Kazoku);Yasaburou Shimogamo;When saying good-bye to this world, our great father split his blood into four: the eldest inherited only his sense of responsibility, the second eldest inherited only his easygoing personality, the youngest inherited only his innocence, and me, well, I inherited only his idiocy.  What held us diverse brothers together was the love of our mother, deeper than the sea, and the farewell we bid our great father.  Sometimes, one profound separation can unite the ones left behind.  ;;;;;;;;
70;(Dice: The Cube That Changes Everything);Dong Taebin;Haven't you ever thought that life would be better if it was a game?;;;;;;;;
71;(Dice: The Cube That Changes Everything);Dongtae;Game!? Is life a game to you?...Life is not a game!!;;;;;;;;
72;(Re:Zero kara Hajimeru Isekai Seikatsu);Crusch Karsten;Stand up! lift your faces! Take up your weapons! Look at that boy. He's so weak and fragile a breath could blow him away and he's unarmed! He is a powerless boy, whose defeat I have seen with my own eyes! He's weaker than anyone else here! Yet he's shouting louder than anyone that we can still do this so how can we sit down, with downcast gaze? If our weakest man has not given up how is kneeling in defeat acceptable for us? Did you come this far to wallow in shame? ;;;;;;;;
73;(Kimi no Na wa);Taki Tachibana;I wanted to tell you that… Wherever you may end up in this world, I will be searching for you.;;;;;;;;
74;(Kimi no Na wa);Taki Tachibana;Why does the scenery of a town that no longer exists wring my heart so?;;;;;;;;
75;(Kimi no Na wa);Mitsuha Miyamizu;If I suddenly showed up, would I bother him? Surprise him? There’s no way we could meet. But what if we did? What should I do? Would I annoy him? Would it be awkward? Or maybe… He’d be a bit glad to see me?;;;;;;;;
76;(Kimi no Na wa);Taki Tachibana;Once in a while when I wake up, I find myself crying. The dream I must’ve had, I can never seem to recall...But the sensation that I’ve lost something lingers for a long time after I wake up.;;;;;;;;
77;(Kimi no Na wa);Hitoha Miyamizu;Treasure the experience. Dreams fade away after you wake up.;;;;;;;;
78;(Ao Haru Ride);Kou Mabuchi;I can't surpress my feeling anymore. When she gets confused, I will still her back. Yes I know I am selfish, I don't care. ;;;;;;;;
79;(Yahari Ore No Seishun Love Come Wa Machigatteiru);Hachiman Hikigaya;Your unconditional trust is more than I'm willing to bear.;;;;;;;;
80;(Darker than Black: Gemini of the Meteor);Lebanon;"""Isn't it okay? Even if you and someone meet for just a moment, that moment passes by...You might meet again somewhere, isn't that okay?""";;;;;;;;
81;(Days (TV));Tsukamoto Tsukushi;But maybe life isn't about counting all the things you've lost.;;;;;;;;
82;(Love Live! School idol project TV 2/2014);Maki Nishikino;Nobody thinks they're cuter than others unless they're conceited.;;;;;;;;
83;(Natsume Yuujinchou);Takashi Natsume;Hotaru, do you think the day will come that I'll lose it (the ability to see spirits) as well?  A one-sided visit and troublesome days...is that freedom? or...At that time, a small firefly (Hotaru) passed by and whispered something to me.  But I could not understand the words of a bug.  Farewell, Hotaru.  I wonder if that person understood...just that person.;;;;;;;;
84;(Natsume Yuujinchou);Natsume Takeshi;We probably are.  I can't explain it very well, but it seems that lately it doesn't matter, human or spirit.  If your hearts touch, it's the same thing.  When you're all alone, you get lonely, and the first step is always scary.;;;;;;;;
;;;;;;;;;;;
86;(Three Days of Happiness);Three Days of Happiness;People who’ve had lots of failures talk about those failures as if to imply that if they have another life, they’ll be a big success. After facing all that hardship, they think they won’t mess up again. But they’re all - me included, of course - making a fundamental mistake. Failures know a lot about failure, sure. But knowing failure is completely different from knowing success. Fixing your mistakes doesn’t mean success takes their place - you’ve just got a point to start at, is all. That’s something failures don’t understand.;;;;;;;;
87;(La Corda D'Oro - primo passo);Kahoko Hino;"""If you close down the way to your own path, it will always open up. That's why this isn't a song of ending. It is a new encounter. A song of beginning.""";;;;;;;;
88;(Wolf Girl & Black Prince);Erika Shinohara;I really do like you. You pissed me off, so I considered giving up for a minute, but I'd never lie about my feelings. So I won't quit. Even if you don't believe me now, I'll keep saying it until you do! I'll keep trying! This isn't over!;;;;;;;;
89;(Shirobako);Yumi Iguchi;Better to ask and be a fool once than never to ask and be a fool forever.;;;;;;;;
90;(Fairy Tail);Makarov;There is great value in the time spent in ones own company, but a life time of total isolation is a fate no one should endure.;;;;;;;;
91;(Whistle!);Shō Kazamatsuri;I won't be defeated because I know how awful it feels to lose after doing my very best!;;;;;;;;
92;(Berserk);Guts;If you're alone... if it's just your life, you can use it however you please/ Wear yourself out, get cut to ribbons, doesn't matter. But when there's two, the blade grows heavy. Fighting like death doesn't concern you becomes a thing of the past. It's no longer just you. I threw away my way of life, relied on the strength of others, and somehow pushed on.;;;;;;;;
93;(Higurashi No Naku Koro Ni);Takano Miyo;Every phenomenon that happens in the human world is caused by people for their own convenience.;;;;;;;;
94;(Charlotte);Nao Tomori;The scars that you can't see are the hardest to heal.;;;;;;;;
95;(Durarara!!);Izaya Orihara;You can run from your past all you want, but it will always follow you. Forever and ever and ever and ever.;;;;;;;;
96;(Naruto Shippuuden);Sasuke Uchiha;Having too many bonds causes one to lose focus, weakening their strongest wish, their greatest desire. ;;;;;;;;
97;(Naruto Shippuuden);Obito Uchiha;The moment people come to know love, they run the risk of carrying hate.;;;;;;;;
98;(Tamako Market);Kunio Yaobi;There are times like that music can convey more than words. ;;;;;;;;
99;(Naruto);Shino Aburame;Trying to improve by learning from others that is what calls friendship.;;;;;;;;
100;(Eureka Seven);Charles Beams;Freedom is something that you need to actively acquire. It's not something that's given with no strings attached. To be free means to take responsibility, and to prepare yourself for what's to come.;;;;;;;;
101;(Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e);Kiyotaka Ayanokouji;All people are nothing but tools. It doesn't matter how it's done. It doesn't matter what needs to be sacrificed. In this world, winning is everything. As long as I win in the end...That's all that matters.;;;;;;;;
102;(Bungou Stray Dogs 2nd Season);Osamu Dazai;Evil expects evil from others.;;;;;;;;
103;(Boku no Hero Academia);All Might;It's not bad to dream. But you also have to consider what's realistic. ;;;;;;;;
104;(Rokudenashi Majutsu Koushi to Akashic Records);Glenn Radars;Humans are creatures that always get hurt and feel regret whenever they make a choice on something. ;;;;;;;;
105;(Psycho-Pass);Rikako Oryo;This epidemic leads innocent people to their deaths, and yet it's pathogen will never be eradicated. This is a disease called serenity, a form of death that people have wished for.;;;;;;;;
106;(Legend of Zelda);Link;A sword wields no strength, unless the hand that holds it has courage. ;;;;;;;;
107;(Koe no Katachi);Shouya Ishida;Things would have been so much better back then... If we had heard each other's voices. I hate myself. I was selfish, and I never thought about anyone else's feelings. Since then, my classmates have all looked down on me. I've lived for seventeen years, and I haven't lived one of them as a good person. The only time I heard your voice was when we got into that fight. And what pisses me off the most is the fact that I haven't changed at all since back then! But.,. But now, I think I can understand what you were saying... Nishimiya. Me and you... Can we be... friends? Shit!! I went way too far!! I was just gonna apologize and get out of here! Why the hell did I end up asking her to be friends?... Why did I even say that?! Jeez, that's so embarrassing! How can you even say that? ;;;;;;;;
108;(Koi to Uso);Takasaki Misaki;Just your touch... gets me excited. It makes me so happy. But those feelings will all turn into pain. The happier I am now, the more it'll hurt. I know how cruel this is... but no matter how hard I try, I can't rid myself of this. Nejima-kun... I... don't know... what love is.;;;;;;;;
109;(Nanbaka);Uno;*to Jyugo* You're such a gloomy Gus, aren't you? You're so gloomy, indecisive, and so pessimistic. You're also dull, have bad handwriting, can't learn, insensitive, weak, a slow runner, a poor talker, and a poor liar. You really can't do anything other than break out of jail. Also you have short legs. But... that means you have lots of character traits, right? That's all you need to know for now, don't you think? If you don't know something, we'll teach you. We're gonna make your life more fun. It doesn't matter whether we're in jail or hell. If we live happily, we win. So let's take it slow and make sure you'll enjoy tomorrow.;;;;;;;;
110;(Koe no Katachi);Shouya Ishida;Back then, if we could have have heard each other's voices, everything would have been so much better.;;;;;;;;
111;(Koi to Uso);Nejima Yukari;Even though you like someone already, your partner is decided for you... and you can't do anything about that crush. Because everyone keeps getting in the way... and saying you can't... But... when you're the one in love... the only thing that feels true... is that feeling.;;;;;;;;
112;(Nanbaka);Uno;There's more to a real man than just his good looks!;;;;;;;;
113;(ReLIFE);Yoake Ryou;If I'm going to disappear no matter what, I at least want to leave them having fun and smiling.;;;;;;;;
114;(Koi to Uso);Nisaka Yuusuke;"If you take someone at puberty, a teen... introduce him or her to a member of the opposite sex around the same age and say, ""This is the person who was meant for you""... and then go on to spend a lot of time together... why wouldn't you fall for them?";;;;;;;;
115;(Spice and Wolf);Horo;I want you to please understand the scales of my heart will always be swaying back and forth. But there is something you should know. I will never lean to one side or the other due to the weight of gold coins.;;;;;;;;
116;(ReLIFE);Onoya An;Even though everything is going to disappear, it isn't supposed to be meaningless. It's exactly because you know you're going to part ways, that now and only now is your only chance.;;;;;;;;
117;(Koi to Uso);Takasaki Misaki;I don't really want you to understand... I just don't want you to be like, 'Oh, is that all'? I don't need people to get it. These feelings... are important to me, and they're just for me.;;;;;;;;
118;(Sakurasou no Pet na Kanojo);Akasaka Ryuunosuke;It's a programmer's job to make the most of limited resources to turn an impractical idea into reality.;;;;;;;;
119;(Nisekoi);Maiko Shuu;Making sure I have no regrets... that would just be self-serving, nothing more. It's all right. I mean, this is a great memory in itself, right?;;;;;;;;
120;(Isshūkan Friends);Yūki Hase;There are things I don't want to forget... Memories of time spent with friends. Memories of time spent with her alone. Memories are important. But there's something even more important... That's to continue making memories.;;;;;;;;
121;(Spice and Wolf);Horo;I have no fear of watching you grow old while I remain young. I'll even watch you on your death bed. I am no stranger to death. But your heart is like that of an innocent child. It has always accepted everything about me, without hesitation. Because of that I am very afraid.;;;;;;;;
122;(Kono Subarashii Sekai ni Shukufuku wo!);Kazuma Satou;"I yearn for true gender equality. I have no patience for one who talks about female privilege when it suits them, and then complains about someone ""not being a man"" when it's convenient.";;;;;;;;
123;(Nisekoi);Ichijou Raku;But... If you're the kind of person who can devote herself like that to someone, then I'll bet you anything there's someone out there who'll fall in love with you.;;;;;;;;
124;(Isshūkan Friends);Shougo Kiryuu;Yeah, if I saw her smiling to herself while reading this, I might think it was creepy. But there's something wrong with people who talk trash and laugh behind another's back, too.;;;;;;;;
125;(Spice and Wolf);Horo;Stop pouting! You learned something valuable. Remember the lesson, not the disappointment.;;;;;;;;
126;(Nisekoi);Ichijou Raku;You're right. Whether I ever see that girl again or not, that doesn't change the fact that this promise is important to me. I'm gonna go on treasuring it.;;;;;;;;
127;(Mayoiga);Kamiyama;Lies are told prevent yourself from getting hurt.;;;;;;;;
128;(Liar Game);Kanzaki Nao;I believe that there's not a single person whose heart is evil.;;;;;;;;
129;(Koi to Uso);Takasaki Misaki;What is love?;;;;;;;;
Its when your eyes start following someone;" and you look for them if they’re not around. You get excited thinking you might run into him when you’re putting your shoes on in the morning. And when you don’t it’s a little disappointing. But then you pass by him and that makes you happy for the rest of the day. It feels like you can handle anything. Seeing him is enough to make you happy.""";;;;;;;;;;
130;(Spice and Wolf);Horo;I do not want to wake from my dream and discover that I am all alone. I am tired of being alone! I do not want to be cold! I do not want to be lonely!;;;;;;;;
131;(Koi to Uso);Ichijou Kagetsu;People don't fall in love based on looks. And that's a scientific fact.;;;;;;;;
132;(Rokudenashi Majutsu Koushi to Akashic Records);Celica Arfonia;The ones who accomplish something are the fools who keep pressing onward. The ones who accomplish nothing are the wise who cease advancing.;;;;;;;;
133;(Spice and Wolf);Horo;I am Horo the Wise Wolf, and I am a very proud wolf.;;;;;;;;
134;(Rokudenashi Majutsu Koushi to Akashic Records);Glenn Radars;Just walk the path you believe in. And don't forget, you're the main character of your own life story!;;;;;;;;
135;(Spice and Wolf);Horo;I am not so grand, not as a god. I am Horo, and Horo is all that I am.;;;;;;;;
136;(Shingeki no Bahamut: Genesis);Favaro Leone;To hell with living a life of revenge, I'm me! I live for myself! You're not my sworn enemy or anything else. You're nothing but a putrid demon!;;;;;;;;
137;(Kono Subarashii Sekai ni Shukufuku wo!);Megumin;Explosion!!!;;;;;;;;
138;(Kakegurui);Jabami Yumeko;The only one who can decide your worth.. is you. If you want to earn something, you need to reach out for it. Pro-athletes give up their teenage years to train. Business owners put up collateral to borrow money. That's how it always works. To make your ambitions come true, you have to take risks. The larger the ambition the greater the risk. That might involve time or enough work to affect your lifespan... So make your choice. Live in peace as a wannabe or risk losing it all to reach the very top. You're the one who needs to decide.;;;;;;;;
139;(Ore Monogatari!!);Makoto Sunakawa;Who'd want to date girls that talk smack about your friends?;;;;;;;;
140;(Akame ga KILL!);Esdeath;I have so many things I want to say, so many things I want to ask you, but... When I see your face... None of that matters anymore!;;;;;;;;
141;(Kakegurui);Jabami Yumeko;The amount of money one owns ultimately decides the victor. This doesn't stop within the walls of a casino, or it's cash flow. It's a rule that forms the basis for a capitalist society!;;;;;;;;
142;(Akame ga KILL!);Leone;The lifespan of a human is certainly way too short. That's why you've got to make the most of it and live your life to the fullest.;;;;;;;;
143;(Gunbuster);Koichiro Oota;It's true that you're lacking in ability. That's because you don't work at it. However, you have a natural potential. That's why I chose you.;;;;;;;;
144;(Katekyo Hitman Reborn!);Takeshi Yamamoto;Enjoy your life today. Yesterday is gone, and the tomorrow might never come.;;;;;;;;
;;;;;;;;;;;
147;(Whistle!);Shō Kazamatsuri;Why do I want to win so much...? Everyone takes up soccer for different reasons. But we all have a passion for the sport... That drive carries us through a game, even if we lose. If we win, it pushes us forward to the next game. The winners of the game honour the losers by playing with everything they have... and until we hit a wall, until a better team beats us, we should try our best, instead of running away. That's what I want to do!;;;;;;;;
148;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;"I want to reply with a long message, but if it's too long, that might be kind of revolting. But if it's too short, then I might come off as cold instead. Feeling apprehensive of what to do, I decided to reply back with a similar word count instead. This was what they called ""mirroring"" in psychology. By emulating the actions of the other party, your affection levels would increase!";;;;;;;;
149;(JoJo's Bizarre Adventure: Stardust Crusaders);Jotaro Kujo;A road is something that you make yourself.;;;;;;;;
150;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;If what I wished for was granted to me, if what I wanted was given to me. Then, as I thought, I wouldn't wish for anything nor want anything. Because the things you were granted and the things you were given were surely shams that would one day be lost. ;;;;;;;;
;;;;;;;;;;;
The things you wished for had no shape and the things you wanted were untouchable. Or possibly;" they might be the most wonderful treasures that would become nothing if you were to touch them. """;;;;;;;;;;
151;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;It' because you were embarrassed, frustrated, bitter, and jealous. If there's a time when those ill feelings surfaced, then there's also going to be a time where you restrained yourself, smiled, and then cut your relationships afterwards.;;;;;;;;
;;;;;;;;;;;
Being aware of your eventual break up was a rather complicated thing. If you wanted to graduate with a smile;" shouldn't you avoid approaching your friends too much? And that's where having no friends was super convenient!""";;;;;;;;;;
152;(ReLIFE);Hishiro Chizuru;I don't think I'll learn anything if I don't try to do something about it on my own.;;;;;;;;
153;(Grisaia no Meikyuu);Yuuji Kazami;If you've got energy to spend on feeling guilty, then use it to show your gratitude.;;;;;;;;
154;(Trigun);Vash the Stampede;To realize a mistake. To not lie. To love one another. To not kill. Those are very simple things, but these times won't allow for them. There is no green on this planet, even though we want it... though we want it so badly. A place where we can live peaceful days with no wars nor stealing. A sacred place where people can live as people. Yes there, that place is called Paradise.;;;;;;;;
155;(Grisaia no Kajitsu);Yuuji Kazami;Compared to failing without even trying, I'd rather take action, even at the risk of a mistake.;;;;;;;;
156;(Grisaia no Kajitsu);Yuuji Kazami;No matter what you're doing, the most essential thing is to not give up. Fail as many times as it takes. Keep trying persistantly untill you can call yourself 'avarage'. If you can collect a nice group of avarage-level skills, that's already above-avarage. You've created your own sort of 'talent'.;;;;;;;;
157;(Rokudenashi Majutsu Koushi to Akashic Records);Glenn Radars;"It's easy to say ""choose so that you'll have no regrets,"" but that's impossible. No matter how hard you've agonized over your path, you'll always regret something about it later. That's just how we humans are made. Which is why I think our true feelings are important. If you choose your path based on your true feelings, it'll hurt just a little less when you feel the same regret, right?";;;;;;;;
158;(Octave);Yukino Miyashita;"Someone told me this: ""Nothing is ""forever"" in human relationships"". That might be true, but it sounds awfully lonely. But I realized today... If there really is no such thing as ""forever""... Then having someone important is the happiest thing one can attain in life.";;;;;;;;
159;(Oushitsu Kyoushi Haine);Haine Wittgenstein;Instead of judging others based on rumors and gossip articles, I must look and feel for myself. You cannot know anyone without coming face-to-face with them.;;;;;;;;
160;(ReLIFE);Hishiro Chizuru;If at some point in life, you made a mistake or keep failing over and over again, and you can't help but think it's useless and you're a good for nothing;;;;;;;;
161;(Bungou Stray Dogs 2nd Season);Osamu Dazai; Success is harder than failure for many things in this world.;;;;;;;;
162;(Tokyo Ghoul);Kaneki Ken;You're wrong. It's not the world that's messed up;;;;;;;;
163;(Fairy Tail);Erza Scarlet;Even if we walk on different paths, one must always live on as you are able! You must never treat your own life as something insignificant! You must never forget the friends you love for as long as you live! Let bloom the flowers of light within your hearts.;;;;;;;;
164;(Shingeki no Kyojin);Eren Kruger;There is no such thing as truth in this world. That is our reality. Anyone can become a God or a Devil. All it takes is for someone to claim that to be the truth.;;;;;;;;
165;(Naruto);Itachi Uchiha;Those who forgive themselves, and are able to accept their true nature... They are the strong ones!;;;;;;;;
166;(Kingdom);Ei Sei;People's lives don't belong to anyone. Anyone, except themselves. But people have a path. The path of how to use that life.;;;;;;;;
167;(Gintama);Gintoki Sakata;Unfortunately, I don't have a nice eyeball like you, that can see this and that. All I can do to pursue one thing in front of me. So whether it's the abyss of death or an empty void, I won't fight for the manju offered to my grave. I'll fight for tomorrow's breakfast. That's all.;;;;;;;;
168;(Mondaiji-tachi Ga Isekai Kara Kuru Sou Desu Yo?);Leticia Draculair;You shouldn't judge something without trying it first. Having a variety of experiences is what makes life worth living.;;;;;;;;
169;(Yahari Ore no Seishun Love Come wa Machigatteiru.);Hachiman Hikigaya;Well it's not like the world is full of sunshine and daisies. If society was only shaped by the view that one must be happy-go-lucky all the time, Hollywood wouldn't make tear-jerking movies, would they? ;;;;;;;;
170;(Hanamonogatari);Rouka Numachi;"There isn't anything that's evil to everyone. Even the worst evil saves something. On the other hand, even the greatest good hurts someone. The phrase ""There are no absolutes in this world"" means there isn't any absolute good or absolute evil.";;;;;;;;
171;(Tanaka-kun wa Itsumo Kedaruge);Tanaka;Being angry consumes energy and makes me tired. So I'd rather apologize, even if I'm not at fault. Besides, we get along, and we both want to stay friends. Prolonging an awkward situation out of stubbornness is just silly.;;;;;;;;
172;(Gintama);Gintoki Sakata;You're absolutely right. I can't do anything alone.  Everyone has their flaws and imperfections, but that's what drives us to work together... To make up for those flaws. Together, we make the perfect main character. ;;;;;;;;
173;(Youjo Senki);Tanya Degurechaff;Miracles are illusions caused by insufficient observation and understanding. They're just... glorious misunderstandings.;;;;;;;;
